"RIGHT_CODE","PROFILE_NAME"
"NotificationAdminAction","NOTIFICATION_ADMIN"
"NotificationRuleCreate","NOTIFICATION_RULE_ADMIN"
"NotificationRuleUpdate","NOTIFICATION_RULE_ADMIN"
"NotificationRuleDelete","NOTIFICATION_RULE_ADMIN"
"NotificationRuleSubscribe","NOTIFICATION_RULE_USER"
"NotificationRuleUnsubscribe","NOTIFICATION_RULE_USER"
"NotificationRuleEnable","NOTIFICATION_RULE_USER"
"NotificationRuleDisable","NOTIFICATION_RULE_USER"
"NotificationRuleView","NOTIFICATION_RULE_USER"
"NotificationRuleTemplateCreate","NOTIFICATION_RULE_TEMPLATE_ADMIN"
"NotificationRuleTemplateUpdate","NOTIFICATION_RULE_TEMPLATE_ADMIN"
"NotificationRuleTemplateDelete","NOTIFICATION_RULE_TEMPLATE_ADMIN"
"NotificationRuleTemplateView","NOTIFICATION_RULE_TEMPLATE_ADMIN"
"NotificationRouteCreate","NOTIFICATION_ROUTE_ADMIN"
"NotificationRouteDelete","NOTIFICATION_ROUTE_ADMIN"
"NotificationRouteTopicsView","NOTIFICATION_ROUTE_ADMIN"
"NotificationRouteUpdate","NOTIFICATION_ROUTE_ADMIN"
"NotificationRouteView","NOTIFICATION_ROUTE_ADMIN"
"NotificationView","NOTIFICATION_USER"
"NotificationAuditView","NOTIFICATION_USER"